text,category,source,cleaned_text,mapped_category
There is a problem in our colony. Emergency response delayed despite multiple calls,Law Enforcement Issue,synthetic,problem colony emergency response delayed despite multiple call,Law Enforcement Issue
Serious problem: Public fund diverted for private functions,Financial Issue,synthetic,serious problem public fund diverted private function,Financial Issue
I want to report: School principal asking for donation for admission,Corruption,synthetic,want report school principal asking donation admission,Corruption
Requesting immediate action: Property registration delayed without explanation,Service Delay,synthetic,requesting immediate action property registration delayed without explanation,Service Delay
There is a problem in our colony. Staff at registrar office asking for bribe for land record,Corruption,synthetic,problem colony staff registrar office asking bribe land record,Corruption
Police brutality during questioning,Law Enforcement Issue,synthetic,police brutality questioning,Law Enforcement Issue
Issue: Illegal dumping of waste in residential area Please help.,Utility Issue,synthetic,issue illegal dumping waste residential area please help,Utility Issue
Urgent: Service tax charged after it was abolished,Financial Issue,synthetic,urgent service tax charged abolished,Financial Issue
I want to report: Trade license renewal taking forever,Service Delay,synthetic,want report trade license renewal taking forever,Service Delay
Serious problem: Hidden charges in bank statement,Financial Issue,synthetic,serious problem hidden charge bank statement,Financial Issue
Hidden charges in bank statement,Financial Issue,synthetic,hidden charge bank statement,Financial Issue
Urgent: Illegal commission charged for permit approval,Corruption,synthetic,urgent illegal commission charged permit approval,Corruption
Requesting immediate action: Fake vouchers submitted for government travel reimbursement,Corruption,synthetic,requesting immediate action fake voucher submitted government travel reimbursement,Corruption
Requesting immediate action: Provident fund withdrawal stuck in system,Financial Issue,synthetic,requesting immediate action provident fund withdrawal stuck system,Financial Issue
Water pipeline leaking causing road damage,Utility Issue,synthetic,water pipeline leaking causing road damage,Utility Issue
Hospital staff charging for free medicines provided by government,Corruption,synthetic,hospital staff charging free medicine provided government,Corruption
Issue: Delay in response from fire department Please help.,Service Delay,synthetic,issue delay response fire department please help,Service Delay
Serious problem: Threatened by landlord who is a government servant,Harassment,synthetic,serious problem threatened landlord government servant,Harassment
There is a problem in our colony. Pension not credited to account for three months,Financial Issue,synthetic,problem colony pension credited account three month,Financial Issue
Issue: No feedback on previous complaints for weeks Please help.,Service Delay,synthetic,issue feedback previous complaint week please help,Service Delay
Requesting immediate action: Harassed by inspector during routine check,Harassment,synthetic,requesting immediate action harassed inspector routine check,Harassment
"Dear Sir, Hostile work environment due to constant criticism",Harassment,synthetic,dear sir hostile work environment due constant criticism,Harassment
Urgent: Garbage not collected from our street regularly,Utility Issue,synthetic,urgent garbage collected street regularly,Utility Issue
Requesting immediate action: Misuse of public funds in road construction project,Corruption,synthetic,requesting immediate action misuse public fund road construction project,Corruption
I am facing a major issue. Drainage blocked causing flooding during rain,Utility Issue,synthetic,facing major issue drainage blocked causing flooding rain,Utility Issue
I am facing a major issue. Threatened with termination for filing complaint,Harassment,synthetic,facing major issue threatened termination filing complaint,Harassment
Digital signature error preventing file upload for days,Service Delay,synthetic,digital signature error preventing file upload day,Service Delay
There is a problem in our colony. Illegal dumping of waste in residential area,Utility Issue,synthetic,problem colony illegal dumping waste residential area,Utility Issue
There is a problem in our colony. No feedback on previous complaints for weeks,Service Delay,synthetic,problem colony feedback previous complaint week,Service Delay
Broken power line hanging dangerously,Utility Issue,synthetic,broken power line hanging dangerously,Utility Issue
Issue: Unexplained fees for government services Please help.,Financial Issue,synthetic,issue unexplained fee government service please help,Financial Issue
Complaint regarding: Persistent harassment from neighbor with police ties,Harassment,synthetic,complaint regarding persistent harassment neighbor police tie,Harassment
I am facing a major issue. Persistent harassment from neighbor with police ties,Harassment,synthetic,facing major issue persistent harassment neighbor police tie,Harassment
Complaint regarding: Dead animals lying on the street not removed,Utility Issue,synthetic,complaint regarding dead animal lying street removed,Utility Issue
"Dear Sir, File moving too slowly between departments",Service Delay,synthetic,dear sir file moving slowly department,Service Delay
I am facing a major issue. Income certificate verification is pending with tehsildar,Service Delay,synthetic,facing major issue income certificate verification pending tehsildar,Service Delay
Government official demanded bribe for processing my application,Corruption,synthetic,government official demanded bribe processing application,Corruption
I want to report: Low water pressure making it hard to use,Utility Issue,synthetic,want report low water pressure making hard use,Utility Issue
Complaint regarding: Inappropriate physical contact during work,Harassment,synthetic,complaint regarding inappropriate physical contact work,Harassment
Serious problem: Assault victim being pressurized to reach a settlement,Law Enforcement Issue,synthetic,serious problem assault victim pressurized reach settlement,Law Enforcement Issue
I am facing a major issue. Officer asked for money under the table to clear my file,Corruption,synthetic,facing major issue officer asked money table clear file,Corruption
Serious problem: Broken power line hanging dangerously,Utility Issue,synthetic,serious problem broken power line hanging dangerously,Utility Issue
Account hacked and money stolen,Financial Issue,synthetic,account hacked money stolen,Financial Issue
Complaint regarding: Sewage overflow on the main road near our house,Utility Issue,synthetic,complaint regarding sewage overflow main road near house,Utility Issue
Urgent: Potholes on the main highway causing traffic,Utility Issue,synthetic,urgent pothole main highway causing traffic,Utility Issue
Issue: Staff at registrar office asking for bribe for land record Please help.,Corruption,synthetic,issue staff registrar office asking bribe land record please help,Corruption
Issue: Favoritism shown in awarding government contracts Please help.,Corruption,synthetic,issue favoritism shown awarding government contract please help,Corruption
Issue: Poor road conditions with multiple potholes Please help.,Utility Issue,synthetic,issue poor road condition multiple pothole please help,Utility Issue
I am facing a major issue. Refusal of leave for genuine medical emergency as punishment,Harassment,synthetic,facing major issue refusal leave genuine medical emergency punishment,Harassment
I am facing a major issue. Public tap is broken and wasting tons of water,Utility Issue,synthetic,facing major issue public tap broken wasting ton water,Utility Issue
Serious problem: Drug dealing in front of police station,Law Enforcement Issue,synthetic,serious problem drug dealing front police station,Law Enforcement Issue
Complaint regarding: Public tap is broken and wasting tons of water,Utility Issue,synthetic,complaint regarding public tap broken wasting ton water,Utility Issue
There is a problem in our colony. Salary delayed for three months,Financial Issue,synthetic,problem colony salary delayed three month,Financial Issue
Complaint regarding: Traffic sergeant took my license without a receipt,Law Enforcement Issue,synthetic,complaint regarding traffic sergeant took license without receipt,Law Enforcement Issue
I want to report: No action against repeated domestic violence,Law Enforcement Issue,synthetic,want report action repeated domestic violence,Law Enforcement Issue
