text,category,source
There is a problem in our colony. Emergency response delayed despite multiple calls,Law Enforcement Issue,synthetic
Serious problem: Public fund diverted for private functions,Financial Issue,synthetic
I want to report: School principal asking for donation for admission,Corruption,synthetic
Requesting immediate action: Property registration delayed without explanation,Service Delay,synthetic
There is a problem in our colony. Staff at registrar office asking for bribe for land record,Corruption,synthetic
Police brutality during questioning,Law Enforcement Issue,synthetic
Issue: Illegal dumping of waste in residential area Please help.,Utility Issue,synthetic
Urgent: Service tax charged after it was abolished,Financial Issue,synthetic
I want to report: Trade license renewal taking forever,Service Delay,synthetic
Serious problem: Hidden charges in bank statement,Financial Issue,synthetic
Hidden charges in bank statement,Financial Issue,synthetic
Urgent: Illegal commission charged for permit approval,Corruption,synthetic
Requesting immediate action: Fake vouchers submitted for government travel reimbursement,Corruption,synthetic
Requesting immediate action: Provident fund withdrawal stuck in system,Financial Issue,synthetic
Water pipeline leaking causing road damage,Utility Issue,synthetic
Hospital staff charging for free medicines provided by government,Corruption,synthetic
Issue: Delay in response from fire department Please help.,Service Delay,synthetic
Serious problem: Threatened by landlord who is a government servant,Harassment,synthetic
There is a problem in our colony. Pension not credited to account for three months,Financial Issue,synthetic
Issue: No feedback on previous complaints for weeks Please help.,Service Delay,synthetic
Water pipeline leaking causing road damage,Utility Issue,synthetic
Requesting immediate action: Harassed by inspector during routine check,Harassment,synthetic
"Dear Sir, Hostile work environment due to constant criticism",Harassment,synthetic
Urgent: Garbage not collected from our street regularly,Utility Issue,synthetic
Requesting immediate action: Misuse of public funds in road construction project,Corruption,synthetic
I am facing a major issue. Drainage blocked causing flooding during rain,Utility Issue,synthetic
I am facing a major issue. Threatened with termination for filing complaint,Harassment,synthetic
Digital signature error preventing file upload for days,Service Delay,synthetic
There is a problem in our colony. Illegal dumping of waste in residential area,Utility Issue,synthetic
There is a problem in our colony. No feedback on previous complaints for weeks,Service Delay,synthetic
Broken power line hanging dangerously,Utility Issue,synthetic
Issue: Unexplained fees for government services Please help.,Financial Issue,synthetic
Complaint regarding: Persistent harassment from neighbor with police ties,Harassment,synthetic
I am facing a major issue. Persistent harassment from neighbor with police ties,Harassment,synthetic
Complaint regarding: Dead animals lying on the street not removed,Utility Issue,synthetic
"Dear Sir, File moving too slowly between departments",Service Delay,synthetic
I am facing a major issue. Income certificate verification is pending with tehsildar,Service Delay,synthetic
Government official demanded bribe for processing my application,Corruption,synthetic
I want to report: Low water pressure making it hard to use,Utility Issue,synthetic
Complaint regarding: Inappropriate physical contact during work,Harassment,synthetic
Serious problem: Assault victim being pressurized to reach a settlement,Law Enforcement Issue,synthetic
I am facing a major issue. Officer asked for money under the table to clear my file,Corruption,synthetic
There is a problem in our colony. Emergency response delayed despite multiple calls,Law Enforcement Issue,synthetic
Serious problem: Broken power line hanging dangerously,Utility Issue,synthetic
Account hacked and money stolen,Financial Issue,synthetic
Complaint regarding: Sewage overflow on the main road near our house,Utility Issue,synthetic
Urgent: Potholes on the main highway causing traffic,Utility Issue,synthetic
Issue: Staff at registrar office asking for bribe for land record Please help.,Corruption,synthetic
Issue: Favoritism shown in awarding government contracts Please help.,Corruption,synthetic
