text,category
requesting immediate action misuse public fund road construction project,Corruption
dear sir high voltage causing damage appliance,Utility Issue
facing major issue electricity department worker asking money fix transformer,Corruption
facing major issue denial promotion due personal grudge,Harassment
serious problem harassment small business owner official,Harassment
hidden charge bank statement,Financial Issue
overcharged electricity bill month,Financial Issue
want report failure pay contract worker time,Financial Issue
serious problem police harassment peaceful protest,Law Enforcement Issue
serious problem hidden charge bank statement,Financial Issue
serious problem public fund diverted private function,Financial Issue
issue salary delayed three month please help,Financial Issue
dear sir discriminated based caste,Harassment
facing major issue discrepancy pension payment,Financial Issue
want report high voltage causing damage appliance,Utility Issue
dear sir intimidation withdraw legal case,Harassment
complaint regarding traffic police demanding illegal fine,Law Enforcement Issue
aadhar card update pending week,Service Delay
requesting immediate action illegal commission charged permit approval,Corruption
facing major issue application lost transit office,Service Delay
urgent fake voucher submitted government travel reimbursement,Corruption
issue driving license renewal taking long please help,Service Delay
want report frequent power outage affecting neighborhood,Utility Issue
issue delay processing student scholarship please help,Service Delay
urgent inadequate security public event,Law Enforcement Issue
facing major issue threatened termination filing complaint,Harassment
police registering fir theft complaint,Law Enforcement Issue
dear sir low water pressure making hard use,Utility Issue
requesting immediate action waiting approval hospital bill reimbursement,Service Delay
urgent fraudulent transaction debit card,Financial Issue
want report incessant load shedding summer,Utility Issue
problem colony unexplained fee government service,Financial Issue
urgent illegal sand mining allowed paying minor official,Corruption
complaint regarding public distribution system grain sold black market,Corruption
dear sir electricity meter showing wrong reading,Utility Issue
fund poor people stolen local representative,Corruption
problem colony driving license renewal taking long,Service Delay
facing major issue failure report crime officer,Law Enforcement Issue
dear sir official accepted bribe overlook violation,Corruption
urgent municipal council taking long garbage pickup,Service Delay
problem colony pension credited account three month,Financial Issue
issue unexplained fee government service please help,Financial Issue
serious problem supervisor making inappropriate comment workplace,Harassment
problem colony police officer using abusive language citizen,Law Enforcement Issue
dear sir hidden fee charged without disclosure,Financial Issue
problem colony religious discrimination public service,Harassment
issue staff registrar office asking bribe land record please help,Corruption
facing major issue sewage overflow main road near house,Utility Issue
dear sir mental health issue caused toxic workspace,Harassment
issue emergency response delayed despite multiple call please help,Law Enforcement Issue
problem colony salary delayed three month,Financial Issue
facing major issue garbage bin overflowing public park,Utility Issue
problem colony emergency response delayed despite multiple call,Law Enforcement Issue
facing major issue illegal gambling den running local police support,Law Enforcement Issue
problem colony sexual harassment senior officer department,Harassment
passport application pending six month,Service Delay
issue illegal dumping waste residential area please help,Utility Issue
requesting immediate action municipal council taking long garbage pickup,Service Delay
account hacked money stolen,Financial Issue
urgent credit card charged service availed,Financial Issue
complaint regarding inappropriate physical contact work,Harassment
problem colony bank teller stole money fixed deposit,Financial Issue
urgent criminal roaming free despite evidence,Law Enforcement Issue
complaint regarding casteist slur used office,Harassment
requesting immediate action irrigation water diverted big farm bribery,Corruption
issue facing discrimination due gender please help,Harassment
urgent health card issuance delayed,Service Delay
urgent safety concern public place addressed,Law Enforcement Issue
dear sir school principal asking donation admission,Corruption
facing major issue casteist slur used office,Harassment
complaint regarding double billing water supply,Financial Issue
want report intimidation withdraw legal case,Harassment
water smell like chemical tap,Utility Issue
serious problem inordinate delay processing industrial permit,Service Delay
want report cyber crime department taking case seriously,Law Enforcement Issue
requesting immediate action inadequate security public event,Law Enforcement Issue
problem colony illegal dumping waste residential area,Utility Issue
problem colony bounced check government department,Financial Issue
facing major issue facing threat local goon political connection,Harassment
mental torture management,Harassment
issue police officer using abusive language citizen please help,Law Enforcement Issue
want report stalking intimidation workplace,Harassment
complaint regarding hit run case investigated properly,Law Enforcement Issue
dear sir wrongful arrest based false information,Law Enforcement Issue
serious problem police registering fir theft complaint,Law Enforcement Issue
refund processed cancelled service,Financial Issue
assault victim pressurized reach settlement,Law Enforcement Issue
want report stock market fraud affecting saving,Financial Issue
complaint regarding sewage overflow main road near house,Utility Issue
dear sir withholding salary mean control,Harassment
serious problem contaminated water coming public pump,Utility Issue
want report zoning law violated payment official,Corruption
urgent bureaucratic hurdle simple document verification,Service Delay
dear sir government employee asking extra money service,Corruption
requesting immediate action property registration delayed without explanation,Service Delay
want report action repeated domestic violence,Law Enforcement Issue
police harassment peaceful protest,Law Enforcement Issue
water pipeline leaking causing road damage,Utility Issue
complaint regarding threatened termination filing complaint,Harassment
requesting immediate action cyberbullying colleague social medium group,Harassment
problem colony security clearance employment taking forever,Service Delay
requesting immediate action police vehicle used personal errand call pending,Law Enforcement Issue
want report discriminated based caste,Harassment
requesting immediate action bureaucratic hurdle simple document verification,Service Delay
problem colony streetlight working colony week,Utility Issue
serious problem drug dealing front police station,Law Enforcement Issue
facing major issue lack police patrolling night,Law Enforcement Issue
verbal abuse government official visit,Harassment
serious problem thief broke police said small matter,Law Enforcement Issue
requesting immediate action traffic sergeant demanding money reason,Corruption
serious problem hospital staff charging free medicine provided government,Corruption
urgent police vehicle used personal errand call pending,Law Enforcement Issue
urgent provident fund withdrawal stuck system,Financial Issue
requesting immediate action pothole main highway causing traffic,Utility Issue
problem colony illegal construction storm water drain,Utility Issue
want report drought relief fund distributed correctly,Financial Issue
dear sir stray cattle causing traffic issue main road,Utility Issue
facing major issue loud noise illegal factory residential zone,Utility Issue
issue sexual harassment senior officer department please help,Harassment
want report wrongful arrest based false information,Law Enforcement Issue
issue corruption within police department please help,Law Enforcement Issue
custom officer asking illegal fee,Corruption
threatened landlord government servant,Harassment
urgent unauthorized deduction salary,Financial Issue
facing major issue incorrect tax assessment property,Financial Issue
serious problem mental torture management,Harassment
requesting immediate action stolen phone tracked police wont go,Law Enforcement Issue
want report school principal asking donation admission,Corruption
want report public shaming official small error,Harassment
facing major issue double billing water supply,Financial Issue
serious problem account hacked money stolen,Financial Issue
want report electricity meter showing wrong reading,Utility Issue
dear sir call center grievance never pick phone,Service Delay
problem colony staff registrar office asking bribe land record,Corruption
urgent traffic sergeant demanding money reason,Corruption
urgent abuse authority target personal enemy,Harassment
contaminated water coming public pump,Utility Issue
want report trade license renewal taking forever,Service Delay
problem colony officer demanding percentage contract payment,Corruption
urgent pothole main highway causing traffic,Utility Issue
problem colony student grant money never arrived bank,Financial Issue
facing major issue corruption local council office,Corruption
serious problem fraudulent billing government contractor,Corruption
dear sir tax inspector demanding bribe reduce assessment,Corruption
dear sir contractor paid kickback get tender approved,Corruption
requesting immediate action unauthorized deduction salary,Financial Issue
complaint regarding officer asked money table clear file,Corruption
problem colony nepotism hiring municipal office,Corruption
requesting immediate action provident fund withdrawal stuck system,Financial Issue
want report tax inspector demanding bribe reduce assessment,Corruption
issue bounced check government department please help,Financial Issue
problem colony ration card application still process,Service Delay
dear sir freedom fighter pension application moved year,Service Delay
complaint regarding birth certificate issued despite multiple visit,Service Delay
issue open manhole sidewalk dangerous please help,Utility Issue
requesting immediate action forced overtime without pay threat,Harassment
serious problem threatened landlord government servant,Harassment
want report withholding salary mean control,Harassment
requesting immediate action street flooding every minor rain,Utility Issue
urgent tree branch touching transformer causing spark,Utility Issue
serious problem police brutality questioning,Law Enforcement Issue
complaint regarding audit finding show financial discrepancy,Financial Issue
requesting immediate action harassed inspector routine check,Harassment
complaint regarding corruption local council office,Corruption
urgent official counter say system week,Service Delay
facing major issue dead animal lying street removed,Utility Issue
problem colony corruption within police department,Law Enforcement Issue
complaint regarding audit society reveals missing million,Financial Issue
problem colony open manhole sidewalk dangerous,Utility Issue
complaint regarding electricity department worker asking money fix transformer,Corruption
want report illegal search seizure without warrant,Law Enforcement Issue
requesting immediate action gas supply interrupted without any notice,Utility Issue
issue poor road condition multiple pothole please help,Utility Issue
urgent irrigation water diverted big farm bribery,Corruption
serious problem officer taking money hide illegal construction,Corruption
complaint regarding failure serve court summons,Law Enforcement Issue
inordinate delay processing industrial permit,Service Delay
serious problem incorrect income tax refund amount,Financial Issue
incorrect income tax refund amount,Financial Issue
issue blackmail someone power please help,Harassment
constant call night office supervisor,Harassment
issue fund allocated school stolen official please help,Corruption
problem colony public servant mocking disability,Harassment
requesting immediate action health card issuance delayed,Service Delay
update application housing scheme,Service Delay
serious problem online harassment government employee,Harassment
online harassment government employee,Harassment
issue bank teller stole money fixed deposit please help,Financial Issue
issue ration card application still process please help,Service Delay
